id,Sd(km/h),Pd(kg),E_d
1,75,12,0.9
2,74,7,1.8
3,73,11,0.6
4,73,8,0.9
5,72,9,1.1
6,72,8,0.5
7,71,8,1.4
8,71,5,2.0
9,70,10,1.3
10,69,7,1.2
11,69,5,0.8
12,68,11,2.0
13,67,15,0.8
14,67,15,1.6
15,67,14,1.7
16,67,12,0.8
17,67,11,1.0
18,67,9,1.2
19,67,8,0.6
20,66,10,0.6
21,65,11,1.6
22,65,5,1.5
23,64,5,1.4
24,63,15,1.7
25,63,14,0.7
26,63,10,1.7
27,63,6,0.7
28,63,6,0.8
29,62,7,1.6
30,62,6,1.9
31,61,15,1.7
32,61,12,0.9
33,60,14,0.9
34,60,13,1.5
35,60,8,0.8
36,59,13,1.7
37,59,6,0.8
38,59,6,1.3
39,59,6,1.0
40,58,5,1.3
41,58,5,1.8
42,57,15,1.8
43,57,9,1.4
44,57,6,0.7
45,56,5,1.0
