id,Type,X,Y,Demand,ServiceBy
0,d,-7.9,-19.0,0,-
1,c,12.9,16.7,10.6,D/V
2,c,25.5,-21.8,4.4,D/V
3,c,23.1,12.4,8.1,D/V
4,c,27.7,28.2,3.5,D/V
5,c,-18.6,-15.9,1.9,D/V
6,c,16.4,12.9,1.8,D/V
7,c,24.8,-5.0,12.2,D/V
8,c,19.2,-17.0,13.6,D/V
9,c,-23.9,3.5,9.2,D/V
10,c,-8.3,17.8,13.2,D/V
11,c,-25.4,-6.0,3.7,D/V
12,c,-8.5,21.7,8.0,D/V
13,c,21.0,19.7,10.2,D/V
14,c,-17.6,-19.9,9.2,D/V
15,c,1.6,-22.3,3.6,D/V
16,c,-27.7,11.9,5.7,D/V
17,c,23.5,-27.0,13.1,D/V
18,c,0.9,5.7,11.6,D/V
19,c,9.6,16.7,8.2,D/V
20,c,-27.1,13.5,12.7,D/V
21,c,-29.9,-10.5,0.6,D/V
22,c,5.1,23.3,7.8,D/V
23,c,9.3,23.9,3.2,D/V
24,c,12.8,-23.2,13.6,D/V
25,c,-9.6,10.3,11.0,D/V
26,c,14.4,-26.6,12.1,D/V
27,c,18.6,-2.4,8.0,D/V
28,c,-22.1,-8.6,0.6,D/V
29,c,-10.5,-14.0,14.9,D/V
30,c,18.0,13.1,4.6,D/V
31,c,29.6,-4.5,3.0,D/V
32,c,17.7,-11.7,6.9,D/V
33,c,9.1,12.3,3.7,D/V
34,c,9.0,20.8,3.7,D/V
35,c,20.2,24.3,12.0,D/V
36,c,-1.6,28.6,5.5,D/V
37,c,-24.3,11.1,7.0,D/V
38,c,1.0,-24.0,4.3,D/V
39,c,0.9,-17.1,9.6,D/V
40,c,-16.4,-14.5,1.7,D/V
41,c,12.6,25.1,13.7,D/V
42,c,-7.0,-26.6,13.5,D/V
43,c,-0.2,8.4,14.5,D/V
44,c,-6.6,-8.0,10.1,D/V
45,c,6.4,7.3,1.3,D/V
46,c,11.5,-18.8,51.0,V
47,c,15.1,16.8,71.9,V
48,c,-25.9,-20.0,56.7,V
49,c,4.1,-27.6,26.6,V
50,c,-20.4,28.8,92.2,V
51,c,-29.5,12.3,98.2,V
52,c,22.9,10.2,68.7,V
53,c,-10.9,-15.4,42.2,V
54,c,18.1,28.3,81.3,V
55,c,-22.8,-27.6,85.8,V
56,c,5.2,-1.2,69.5,V
57,c,-23.0,-0.3,34.2,V
58,c,23.5,-23.1,63.3,V
59,c,-5.4,8.1,15.8,V
60,c,25.3,-10.5,93.5,V
61,c,-13.1,-1.3,72.7,V
62,c,-21.0,4.0,87.2,V
63,c,-29.6,-20.9,85.5,V
64,c,-15.7,29.2,27.2,V
65,c,-3.8,24.3,32.6,V
66,c,22.5,22.8,44.1,V
67,c,3.6,8.6,58.0,V
68,c,19.9,-9.2,48.5,V
69,c,-16.4,25.1,85.8,V
70,c,-20.6,-11.4,27.1,V
71,c,-16.9,-19.0,16.7,V
72,c,8.6,11.9,62.7,V
73,c,3.9,-15.0,44.6,V
74,c,22.2,29.2,27.8,V
75,c,4.9,-15.3,60.9,V
76,c,18.5,-6.6,46.5,V
77,c,11.4,28.2,89.9,V
78,c,23.1,6.8,80.8,V
79,c,10.3,-16.9,19.6,V
80,c,2.2,-18.5,85.6,V
81,c,-5.1,-22.1,63.9,V
82,c,11.1,26.0,51.6,V
83,c,-14.6,8.9,76.5,V
84,c,1.5,4.9,28.5,V
85,c,-21.1,-24.7,75.4,V
86,c,-4.7,14.8,50.5,V
87,c,-1.1,-1.7,32.7,V
88,c,-22.7,-16.1,83.6,V
89,c,24.9,-1.0,97.4,V
90,c,-16.7,-26.9,42.8,V
91,s,16.2,-19.5,0,-
92,s,11.6,25.2,0,-
93,s,22.5,27.6,0,-
94,s,11.0,-11.0,0,-
95,s,-22.0,20.4,0,-
96,s,-8.5,-21.2,0,-
97,s,-29.2,-2.9,0,-
98,s,7.4,-17.0,0,-
99,s,26.2,-13.2,0,-
100,s,-9.2,-10.8,0,-
101,s,-20.9,23.4,0,-
102,s,-25.0,29.8,0,-
103,s,0.2,7.3,0,-
104,s,16.9,22.1,0,-
