id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,56,50,1000,300,0.16
2,56,50,1000,300,0.16
3,56,50,1000,300,0.16
4,56,50,1000,300,0.16
5,56,50,1000,300,0.16
6,56,50,1000,300,0.16
7,56,50,1000,300,0.16
8,56,50,1000,300,0.16
9,56,50,1000,300,0.16
10,56,50,1000,300,0.16
11,56,50,1000,300,0.16
12,56,50,1000,300,0.16
13,56,50,1000,300,0.16
14,56,50,1000,300,0.16
15,56,50,1000,300,0.16
16,56,50,1000,300,0.16
17,56,50,1000,300,0.16
18,56,50,1000,300,0.16
19,56,50,1000,300,0.16
20,56,50,1000,300,0.16
21,56,50,1000,300,0.16
22,56,50,1000,300,0.16
23,56,50,1000,300,0.16
24,56,50,1000,300,0.16
25,56,50,1000,300,0.16
26,56,50,1000,300,0.16
27,56,50,1000,300,0.16
28,56,50,1000,300,0.16
29,56,50,1000,300,0.16
30,56,50,1000,300,0.16
31,56,50,1000,300,0.16
32,56,50,1000,300,0.16
33,56,50,1000,300,0.16
34,56,50,1000,300,0.16
35,56,50,1000,300,0.16
36,56,50,1000,300,0.16
37,56,50,1000,300,0.16
38,56,50,1000,300,0.16
39,56,50,1000,300,0.16
40,56,50,1000,300,0.16
41,56,50,1000,300,0.16
42,56,50,1000,300,0.16
43,56,50,1000,300,0.16
44,56,50,1000,300,0.16
45,56,50,1000,300,0.16
