id,Type,X,Y,Demand,ServiceBy
0,d,-1.1,-8.3,0,-
1,c,-6.0,6.2,12.9,D/V
2,c,24.9,25.9,12.9,D/V
3,c,9.0,-10.5,8.2,D/V
4,c,-14.1,-23.1,0.7,D/V
5,c,-1.4,-17.3,12.0,D/V
6,c,14.3,25.3,3.5,D/V
7,c,-20.4,-13.8,13.5,D/V
8,c,12.5,19.1,10.1,D/V
9,c,-20.4,13.5,6.3,D/V
10,c,13.6,26.8,13.3,D/V
11,c,9.5,25.3,9.2,D/V
12,c,-27.7,22.1,8.9,D/V
13,c,10.2,5.9,7.9,D/V
14,c,6.6,-8.1,3.3,D/V
15,c,8.6,14.7,7.4,D/V
16,c,22.3,-15.7,10.8,D/V
17,c,25.0,-29.4,10.0,D/V
18,c,-13.9,19.2,5.3,D/V
19,c,13.1,10.3,8.3,D/V
20,c,-6.7,-6.1,9.7,D/V
21,c,7.6,16.9,8.4,D/V
22,c,-22.9,22.4,3.6,D/V
23,c,28.2,-11.6,0.8,D/V
24,c,-27.1,-12.3,10.4,D/V
25,c,-13.6,-24.5,9.1,D/V
26,c,22.2,3.6,5.8,D/V
27,c,-9.8,-18.8,4.2,D/V
28,c,-27.7,3.6,5.4,D/V
29,c,13.4,17.4,1.3,D/V
30,c,3.6,-4.9,7.0,D/V
31,c,-11.1,-6.4,0.8,D/V
32,c,-16.3,-27.3,5.2,D/V
33,c,20.9,12.2,10.6,D/V
34,c,-19.1,-5.1,4.4,D/V
35,c,-14.0,-14.5,2.2,D/V
36,c,26.4,18.1,8.4,D/V
37,c,-2.2,-15.6,0.7,D/V
38,c,28.5,29.5,7.6,D/V
39,c,-6.5,10.5,14.0,D/V
40,c,-1.9,9.5,2.3,D/V
41,c,29.6,-4.1,11.6,D/V
42,c,15.8,-0.3,13.5,D/V
43,c,11.2,10.0,13.6,D/V
44,c,-1.8,8.3,4.5,D/V
45,c,12.8,29.3,8.9,D/V
46,c,-1.4,8.2,17.3,V
47,c,-17.9,0.1,43.4,V
48,c,24.2,-3.7,47.2,V
49,c,23.0,27.3,65.5,V
50,c,-23.1,28.0,80.0,V
51,c,3.9,11.0,67.8,V
52,c,-5.9,27.3,37.0,V
53,c,-0.4,-3.5,23.3,V
54,c,-5.0,-14.4,97.1,V
55,c,-22.2,3.0,38.7,V
56,c,-5.1,14.9,65.9,V
57,c,17.4,22.8,88.2,V
58,c,29.4,15.9,28.4,V
59,c,-10.6,26.9,33.6,V
60,c,-29.9,4.1,48.1,V
61,s,6.4,-1.4,0,-
62,s,-28.3,-9.2,0,-
63,s,24.6,-22.3,0,-
64,s,20.3,14.1,0,-
65,s,-26.2,-3.4,0,-
66,s,17.9,-1.2,0,-
67,s,-18.3,-14.0,0,-
68,s,18.2,-0.4,0,-
69,s,4.0,19.7,0,-
70,s,17.7,-9.1,0,-
71,s,-2.5,19.5,0,-
72,s,23.6,-28.6,0,-
73,s,-28.9,7.2,0,-
74,s,-2.9,-24.3,0,-
