id,Type,X,Y,Demand,ServiceBy
0,d,20.5,6.6,0,-
1,c,-19.1,14.2,2.9,D/V
2,c,18.1,-28.9,5.2,D/V
3,c,3.5,2.9,2.9,D/V
4,c,-5.2,7.5,3.2,D/V
5,c,13.2,-4.4,3.4,D/V
6,c,15.5,-24.1,10.6,D/V
7,c,12.7,-18.1,8.1,D/V
8,c,-1.5,-9.7,3.3,D/V
9,c,-3.6,14.4,0.6,D/V
10,c,16.9,24.1,1.3,D/V
11,c,-6.4,-25.8,1.0,D/V
12,c,10.4,-23.3,7.7,D/V
13,c,-22.5,8.3,12.9,D/V
14,c,10.9,25.3,13.5,D/V
15,c,25.1,17.0,6.8,D/V
16,c,26.9,-3.8,91.5,V
17,c,-29.0,3.1,79.8,V
18,c,24.7,24.4,58.3,V
19,c,-7.8,22.6,47.1,V
20,c,-29.3,22.6,27.5,V
21,c,22.6,-4.4,49.0,V
22,c,-2.3,-5.7,49.3,V
23,c,-1.0,6.0,80.3,V
24,c,-4.2,28.6,79.6,V
25,c,-9.7,-5.5,51.5,V
26,c,14.8,-13.6,27.8,V
27,c,29.9,-8.8,38.9,V
28,c,25.6,7.4,62.8,V
29,c,1.0,25.1,73.5,V
30,c,3.8,-1.6,35.7,V
31,s,-2.3,-7.9,0,-
32,s,-15.9,12.5,0,-
33,s,12.4,-22.3,0,-
34,s,11.2,25.5,0,-
35,s,13.1,-17.3,0,-
36,s,-1.7,-28.0,0,-
