id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,55,50,1000,300,0.16
2,55,50,1000,300,0.16
3,55,50,1000,300,0.16
4,55,50,1000,300,0.16
5,55,50,1000,300,0.16
6,55,50,1000,300,0.16
7,55,50,1000,300,0.16
8,55,50,1000,300,0.16
9,55,50,1000,300,0.16
10,55,50,1000,300,0.16
11,55,50,1000,300,0.16
12,55,50,1000,300,0.16
13,55,50,1000,300,0.16
14,55,50,1000,300,0.16
15,55,50,1000,300,0.16
16,55,50,1000,300,0.16
17,55,50,1000,300,0.16
18,55,50,1000,300,0.16
19,55,50,1000,300,0.16
20,55,50,1000,300,0.16
21,55,50,1000,300,0.16
22,55,50,1000,300,0.16
23,55,50,1000,300,0.16
24,55,50,1000,300,0.16
25,55,50,1000,300,0.16
26,55,50,1000,300,0.16
27,55,50,1000,300,0.16
28,55,50,1000,300,0.16
29,55,50,1000,300,0.16
30,55,50,1000,300,0.16
31,55,50,1000,300,0.16
32,55,50,1000,300,0.16
33,55,50,1000,300,0.16
34,55,50,1000,300,0.16
35,55,50,1000,300,0.16
36,55,50,1000,300,0.16
37,55,50,1000,300,0.16
38,55,50,1000,300,0.16
39,55,50,1000,300,0.16
40,55,50,1000,300,0.16
41,55,50,1000,300,0.16
42,55,50,1000,300,0.16
43,55,50,1000,300,0.16
44,55,50,1000,300,0.16
45,55,50,1000,300,0.16
