id,Sd(km/h),Pd(kg),E_d
1,75,6,1.0
2,74,12,1.6
3,73,11,1.6
4,73,7,1.7
5,73,7,1.1
6,73,6,1.0
7,72,12,0.7
8,71,12,0.9
9,71,7,1.3
10,70,15,0.9
11,70,14,1.0
12,70,13,0.5
13,70,8,1.1
14,69,5,1.2
15,68,10,1.1
16,67,9,1.4
17,67,8,1.0
18,66,13,1.5
19,65,14,1.3
20,65,7,0.6
21,64,14,1.9
22,64,8,1.0
23,64,7,1.0
24,62,9,1.8
25,62,7,0.8
26,62,6,1.1
27,62,6,1.7
28,61,15,1.5
29,61,14,1.2
30,61,10,1.4
31,61,7,1.7
32,60,14,0.6
33,60,5,1.7
34,60,5,0.5
35,59,14,1.7
36,59,13,1.8
37,59,13,2.0
38,59,8,1.3
39,59,6,1.4
40,58,14,1.3
41,58,6,1.0
42,57,12,1.1
43,56,14,1.2
44,56,10,1.1
45,55,10,0.7
