id,Type,X,Y,Demand,ServiceBy
0,d,-3.2,-16.1,0,-
1,c,-24.8,-28.0,6.5,D/V
2,c,-23.6,15.1,8.3,D/V
3,c,13.4,21.0,14.3,D/V
4,c,12.1,-8.9,7.2,D/V
5,c,4.1,13.2,7.8,D/V
6,c,29.9,6.4,13.6,D/V
7,c,-16.8,20.9,2.0,D/V
8,c,0.2,1.7,12.5,D/V
9,c,10.3,4.6,13.7,D/V
10,c,-28.2,-16.3,13.6,D/V
11,c,17.2,-0.6,13.3,D/V
12,c,-4.7,10.0,9.5,D/V
13,c,3.7,-10.8,14.7,D/V
14,c,-9.3,-16.8,4.2,D/V
15,c,5.5,-13.5,10.1,D/V
16,c,9.0,6.9,14.9,D/V
17,c,-6.6,-24.7,7.1,D/V
18,c,-3.7,14.1,5.8,D/V
19,c,-23.2,17.8,14.5,D/V
20,c,24.7,29.2,9.2,D/V
21,c,13.6,13.7,4.6,D/V
22,c,10.7,6.4,13.7,D/V
23,c,-21.6,-26.8,38.9,V
24,c,16.1,21.6,71.4,V
25,c,12.4,14.0,20.8,V
26,c,1.6,18.8,65.9,V
27,c,27.8,1.5,18.9,V
28,c,-12.6,14.6,61.1,V
29,c,-3.5,11.7,81.2,V
30,c,15.2,-1.1,98.9,V
31,s,12.1,16.5,0,-
32,s,-9.7,25.4,0,-
33,s,-2.8,27.0,0,-
34,s,13.3,-12.7,0,-
35,s,-27.4,-11.2,0,-
36,s,-3.5,-22.6,0,-
37,s,23.5,28.6,0,-
38,s,1.4,-15.6,0,-
39,s,-29.3,2.4,0,-
40,s,24.9,-3.9,0,-
