id,Type,X,Y,Demand,ServiceBy
0,d,-7.9,-13.8,0,-
1,c,29.8,18.4,1.8,D/V
2,c,-6.2,-21.1,13.0,D/V
3,c,7.2,19.5,2.6,D/V
4,c,13.2,3.3,8.3,D/V
5,c,27.3,12.2,12.5,D/V
6,c,-19.4,-7.8,5.6,D/V
7,c,28.7,8.3,12.1,D/V
8,c,22.9,19.4,14.7,D/V
9,c,-22.2,-19.1,13.4,D/V
10,c,5.6,-15.1,5.3,D/V
11,c,5.2,10.4,13.9,D/V
12,c,-23.9,-8.3,13.2,D/V
13,c,27.3,1.0,10.8,D/V
14,c,19.6,-11.0,11.3,D/V
15,c,-21.3,-6.6,2.9,D/V
16,c,-10.6,-20.7,11.0,D/V
17,c,-14.4,19.4,15.0,D/V
18,c,-24.5,2.8,5.0,D/V
19,c,-10.4,17.5,12.8,D/V
20,c,14.6,19.7,10.9,D/V
21,c,3.1,-28.9,8.2,D/V
22,c,18.9,14.0,7.5,D/V
23,c,20.3,2.3,4.1,D/V
24,c,-24.3,22.3,5.9,D/V
25,c,-3.4,21.9,2.7,D/V
26,c,20.8,9.5,5.0,D/V
27,c,-22.5,-13.6,8.2,D/V
28,c,11.2,-19.3,14.6,D/V
29,c,2.9,-15.0,1.0,D/V
30,c,17.8,20.2,13.0,D/V
31,c,10.5,-2.2,75.8,V
32,c,-17.7,-1.2,51.9,V
33,c,-21.3,2.8,80.7,V
34,c,0.7,-19.3,78.6,V
35,c,-22.8,14.2,62.1,V
36,c,-27.5,12.1,65.2,V
37,c,-7.2,-11.2,16.6,V
38,c,25.7,15.8,71.7,V
39,c,-17.7,-12.1,68.4,V
40,c,-7.1,-5.0,89.6,V
41,c,-14.1,-30.0,83.5,V
42,c,22.0,24.5,59.5,V
43,c,-0.2,13.3,17.6,V
44,c,-9.3,-2.6,69.9,V
45,c,-1.1,-11.0,24.2,V
46,c,10.6,-10.2,76.4,V
47,c,3.8,-3.4,98.5,V
48,c,3.4,29.7,83.6,V
49,c,23.3,13.0,23.9,V
50,c,1.3,-12.7,41.3,V
51,c,-9.6,24.0,35.9,V
52,c,27.5,-16.2,80.8,V
53,c,2.0,-22.5,26.1,V
54,c,22.0,-8.4,25.4,V
55,c,-21.7,23.8,90.8,V
56,c,-29.9,3.2,25.6,V
57,c,-22.7,-22.3,31.5,V
58,c,25.1,17.5,87.6,V
59,c,13.7,4.1,53.2,V
60,c,-15.3,15.0,23.0,V
61,s,-1.2,-14.1,0,-
62,s,-20.6,9.3,0,-
63,s,-16.9,-11.4,0,-
64,s,-21.8,-27.7,0,-
65,s,-20.3,24.5,0,-
66,s,-7.8,18.7,0,-
67,s,6.2,0.6,0,-
68,s,9.2,-1.5,0,-
69,s,-8.0,-16.9,0,-
70,s,1.1,19.6,0,-
71,s,-19.8,4.2,0,-
72,s,-1.6,22.6,0,-
