id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,58,50,1000,300,0.16
2,58,50,1000,300,0.16
3,58,50,1000,300,0.16
4,58,50,1000,300,0.16
5,58,50,1000,300,0.16
6,58,50,1000,300,0.16
7,58,50,1000,300,0.16
8,58,50,1000,300,0.16
9,58,50,1000,300,0.16
10,58,50,1000,300,0.16
11,58,50,1000,300,0.16
12,58,50,1000,300,0.16
13,58,50,1000,300,0.16
14,58,50,1000,300,0.16
15,58,50,1000,300,0.16
16,58,50,1000,300,0.16
17,58,50,1000,300,0.16
18,58,50,1000,300,0.16
19,58,50,1000,300,0.16
20,58,50,1000,300,0.16
21,58,50,1000,300,0.16
22,58,50,1000,300,0.16
23,58,50,1000,300,0.16
24,58,50,1000,300,0.16
25,58,50,1000,300,0.16
26,58,50,1000,300,0.16
27,58,50,1000,300,0.16
28,58,50,1000,300,0.16
29,58,50,1000,300,0.16
30,58,50,1000,300,0.16
