id,Type,X,Y,Demand,ServiceBy
0,d,29.6,5.4,0,-
1,c,-13.2,-12.8,3.9,D/V
2,c,-6.2,-16.9,12.8,D/V
3,c,-23.8,25.3,14.7,D/V
4,c,7.7,-15.8,5.7,D/V
5,c,-24.5,-9.5,12.0,D/V
6,c,-25.6,21.7,8.1,D/V
7,c,-29.4,-25.4,2.8,D/V
8,c,2.6,22.2,13.4,D/V
9,c,-25.0,-20.2,3.1,D/V
10,c,28.1,13.4,11.5,D/V
11,c,-29.9,-18.3,2.5,D/V
12,c,-7.0,10.2,2.0,D/V
13,c,26.9,19.2,14.6,D/V
14,c,-12.5,-8.5,3.7,D/V
15,c,-20.4,23.2,8.2,D/V
16,c,-7.4,12.7,6.0,D/V
17,c,11.2,-23.3,5.8,D/V
18,c,11.5,-3.0,4.6,D/V
19,c,-22.6,-0.1,11.3,D/V
20,c,-23.7,18.1,6.0,D/V
21,c,-19.3,5.9,3.6,D/V
22,c,16.8,-19.6,2.3,D/V
23,c,6.7,28.1,12.1,D/V
24,c,-27.5,4.1,2.5,D/V
25,c,2.5,-5.5,5.4,D/V
26,c,-29.4,-5.3,6.7,D/V
27,c,-5.9,-4.6,9.4,D/V
28,c,-9.3,-21.3,6.8,D/V
29,c,-13.9,2.0,12.5,D/V
30,c,12.8,28.3,2.4,D/V
31,c,19.1,-0.3,83.3,V
32,c,8.2,-22.8,80.3,V
33,c,9.1,14.7,38.5,V
34,c,-24.0,5.0,37.0,V
35,c,-10.8,24.5,24.2,V
36,c,-27.3,14.6,68.2,V
37,c,-4.2,5.0,60.2,V
38,c,24.7,26.4,96.2,V
39,c,-3.0,14.2,24.9,V
40,c,-25.7,6.5,46.9,V
41,c,5.2,-19.0,15.7,V
42,c,-5.9,4.9,74.9,V
43,c,-10.6,-29.7,77.2,V
44,c,-22.2,-15.7,63.9,V
45,c,23.6,-6.9,41.4,V
46,c,-14.9,-20.5,97.3,V
47,c,13.8,-5.2,85.1,V
48,c,-2.8,1.4,20.4,V
49,c,-25.3,-2.7,54.7,V
50,c,28.3,-28.5,96.6,V
51,c,-9.7,-22.1,50.6,V
52,c,-0.4,-0.3,17.8,V
53,c,13.9,-20.0,67.2,V
54,c,19.5,-12.1,96.9,V
55,c,5.5,-7.8,53.7,V
56,c,23.6,7.8,27.2,V
57,c,6.8,7.8,86.5,V
58,c,-16.5,-2.1,50.3,V
59,c,-28.2,13.4,61.0,V
60,c,23.3,4.1,71.6,V
61,s,2.5,1.0,0,-
62,s,3.9,-15.6,0,-
63,s,15.6,-18.5,0,-
64,s,27.1,-20.6,0,-
65,s,28.7,-25.8,0,-
66,s,7.3,-14.3,0,-
67,s,-27.6,-14.1,0,-
68,s,13.6,26.4,0,-
69,s,0.5,-21.2,0,-
70,s,-25.1,14.6,0,-
