id,Sd(km/h),Pd(kg),E_d
1,75,11,0.6
2,75,5,0.9
3,74,12,1.1
4,74,10,0.7
5,74,6,1.2
6,73,8,0.6
7,73,7,1.4
8,73,5,0.5
9,72,10,1.9
10,72,10,1.1
11,72,7,0.9
12,72,6,0.9
13,71,10,1.0
14,71,8,0.8
15,71,6,0.9
16,70,11,1.4
17,69,13,2.0
18,69,13,0.8
19,68,15,1.0
20,68,14,1.0
21,68,14,1.1
22,68,13,0.7
23,68,9,0.7
24,68,6,1.5
25,67,11,1.4
26,67,5,1.4
27,66,13,1.7
28,66,6,0.8
29,65,12,1.3
30,65,11,0.7
31,64,14,1.1
32,64,12,1.2
33,64,6,1.1
34,62,11,1.0
35,61,10,0.9
36,60,12,1.6
37,60,6,1.3
38,59,15,0.6
39,59,11,1.2
40,59,8,1.2
41,59,8,1.4
42,58,14,1.8
43,56,14,1.5
44,56,14,0.6
45,56,9,1.6
