id,Type,X,Y,Demand,ServiceBy
0,d,-16.9,4.2,0,-
1,c,-14.5,11.7,4.9,D/V
2,c,25.8,13.2,3.8,D/V
3,c,4.2,11.0,9.8,D/V
4,c,22.9,11.8,14.2,D/V
5,c,-5.6,-14.8,11.7,D/V
6,c,-11.9,-16.4,14.3,D/V
7,c,-24.5,-18.0,9.0,D/V
8,c,5.6,20.8,9.9,D/V
9,c,12.2,29.4,13.0,D/V
10,c,6.3,-10.9,1.3,D/V
11,c,25.5,-14.4,5.7,D/V
12,c,-4.2,-13.4,2.4,D/V
13,c,-11.1,2.7,3.4,D/V
14,c,19.1,-11.0,2.3,D/V
15,c,15.8,20.3,5.2,D/V
16,c,22.8,-0.8,9.1,D/V
17,c,27.1,-19.9,9.4,D/V
18,c,1.0,-20.6,7.2,D/V
19,c,27.0,-25.6,8.0,D/V
20,c,-11.1,-16.8,11.6,D/V
21,c,21.3,12.8,10.0,D/V
22,c,25.2,-26.2,11.2,D/V
23,c,26.3,23.0,21.3,V
24,c,-21.1,-6.4,38.7,V
25,c,0.6,-4.0,62.0,V
26,c,13.6,-23.2,76.3,V
27,c,-7.9,22.3,94.7,V
28,c,16.0,14.5,39.5,V
29,c,27.1,-10.7,76.9,V
30,c,-24.3,-18.0,48.2,V
31,c,-4.1,16.8,94.9,V
32,c,-4.7,8.0,37.4,V
33,c,27.6,-1.1,79.5,V
34,c,-0.1,-21.2,21.7,V
35,c,-24.7,0.5,16.2,V
36,c,-18.7,1.1,88.5,V
37,c,-24.0,-11.1,82.5,V
38,c,18.8,-13.1,66.8,V
39,c,-5.5,-14.2,81.0,V
40,c,8.5,-1.2,78.5,V
41,c,-7.0,-14.1,64.1,V
42,c,12.6,24.7,51.5,V
43,c,-22.1,-3.2,26.5,V
44,c,-15.6,-19.2,29.1,V
45,c,-6.3,-20.5,57.9,V
46,c,-12.3,10.7,40.4,V
47,c,-21.2,1.3,99.4,V
48,c,4.7,-6.3,94.5,V
49,c,27.1,28.0,85.5,V
50,c,6.5,22.7,34.4,V
51,c,15.0,-1.4,39.5,V
52,c,-16.3,-6.3,61.7,V
53,c,4.7,21.0,47.2,V
54,c,4.4,13.0,31.7,V
55,c,-2.5,-20.4,96.4,V
56,c,25.6,-14.2,71.0,V
57,c,1.3,11.6,16.5,V
58,c,2.4,9.7,53.9,V
59,c,-1.3,-21.4,93.5,V
60,c,7.9,-27.3,80.8,V
61,c,-25.7,4.0,61.5,V
62,c,-27.6,16.8,29.9,V
63,c,23.0,6.6,53.6,V
64,c,-5.8,4.9,20.0,V
65,c,5.2,-12.0,88.9,V
66,c,1.3,-4.7,44.7,V
67,c,14.6,1.4,88.7,V
68,c,-27.7,-24.9,42.2,V
69,c,-3.9,-0.2,76.5,V
70,c,-11.5,0.0,33.4,V
71,c,28.6,19.5,65.2,V
72,c,-14.1,11.8,67.1,V
73,c,-9.6,-28.6,98.8,V
74,c,5.4,-20.6,68.8,V
75,c,1.2,-14.1,27.1,V
76,c,8.9,-13.8,83.5,V
77,c,11.8,-17.0,15.7,V
78,c,-13.2,5.8,76.8,V
79,c,0.4,0.9,88.1,V
80,c,-17.0,-20.8,24.1,V
81,c,-16.9,29.7,75.4,V
82,c,-11.5,-18.2,32.1,V
83,c,-6.5,22.2,51.2,V
84,c,-15.1,-1.7,47.6,V
85,c,9.7,-18.3,41.3,V
86,c,-15.8,-2.3,100.0,V
87,c,-2.9,-11.3,63.2,V
88,c,2.3,-1.0,44.8,V
89,c,25.0,-6.5,94.8,V
90,c,19.0,-20.9,56.4,V
91,s,-28.4,-28.5,0,-
92,s,17.3,-17.7,0,-
93,s,-18.7,26.0,0,-
94,s,-22.9,21.2,0,-
95,s,-4.0,-16.9,0,-
96,s,9.3,27.5,0,-
97,s,-9.8,20.5,0,-
98,s,-10.9,13.8,0,-
99,s,-4.2,21.3,0,-
100,s,19.9,20.3,0,-
101,s,5.9,-20.3,0,-
102,s,3.0,23.8,0,-
103,s,12.1,-27.8,0,-
104,s,17.0,-3.7,0,-
105,s,7.5,16.5,0,-
106,s,13.4,1.1,0,-
107,s,-12.7,11.3,0,-
108,s,12.1,5.1,0,-
