id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,53,50,1000,300,0.16
2,53,50,1000,300,0.16
3,53,50,1000,300,0.16
4,53,50,1000,300,0.16
5,53,50,1000,300,0.16
6,53,50,1000,300,0.16
7,53,50,1000,300,0.16
8,53,50,1000,300,0.16
9,53,50,1000,300,0.16
10,53,50,1000,300,0.16
11,53,50,1000,300,0.16
12,53,50,1000,300,0.16
13,53,50,1000,300,0.16
14,53,50,1000,300,0.16
15,53,50,1000,300,0.16
16,53,50,1000,300,0.16
17,53,50,1000,300,0.16
18,53,50,1000,300,0.16
19,53,50,1000,300,0.16
20,53,50,1000,300,0.16
21,53,50,1000,300,0.16
22,53,50,1000,300,0.16
23,53,50,1000,300,0.16
24,53,50,1000,300,0.16
25,53,50,1000,300,0.16
26,53,50,1000,300,0.16
27,53,50,1000,300,0.16
28,53,50,1000,300,0.16
29,53,50,1000,300,0.16
30,53,50,1000,300,0.16
31,53,50,1000,300,0.16
32,53,50,1000,300,0.16
33,53,50,1000,300,0.16
34,53,50,1000,300,0.16
35,53,50,1000,300,0.16
36,53,50,1000,300,0.16
37,53,50,1000,300,0.16
38,53,50,1000,300,0.16
39,53,50,1000,300,0.16
40,53,50,1000,300,0.16
41,53,50,1000,300,0.16
42,53,50,1000,300,0.16
43,53,50,1000,300,0.16
44,53,50,1000,300,0.16
45,53,50,1000,300,0.16
