id,Type,X,Y,Demand,ServiceBy
0,d,6.6,20.9,0,-
1,c,18.8,20.6,14.9,D/V
2,c,22.2,-8.1,6.1,D/V
3,c,-13.7,-10.0,12.4,D/V
4,c,10.4,-17.4,5.9,D/V
5,c,8.6,-23.2,2.6,D/V
6,c,-26.9,1.0,12.7,D/V
7,c,-18.7,-28.4,0.8,D/V
8,c,3.2,18.1,11.7,D/V
9,c,25.9,-21.3,13.0,D/V
10,c,7.8,-8.6,5.8,D/V
11,c,21.5,-16.7,3.0,D/V
12,c,21.2,-10.8,6.4,D/V
13,c,-1.3,-26.3,7.4,D/V
14,c,-11.3,27.2,6.7,D/V
15,c,-23.5,12.9,10.3,D/V
16,c,22.1,-24.6,8.3,D/V
17,c,-27.9,15.4,3.0,D/V
18,c,-7.9,2.4,7.3,D/V
19,c,10.5,7.7,8.7,D/V
20,c,-29.1,28.6,2.6,D/V
21,c,-22.4,18.6,4.6,D/V
22,c,3.0,-26.0,6.1,D/V
23,c,22.5,-0.7,18.6,V
24,c,-22.1,-9.0,22.9,V
25,c,5.0,22.2,73.7,V
26,c,-7.4,-24.8,29.8,V
27,c,18.7,-8.5,40.5,V
28,c,8.3,16.4,71.2,V
29,c,-26.5,-14.5,51.3,V
30,c,-14.3,-14.4,80.1,V
31,s,15.4,23.5,0,-
32,s,29.5,-15.0,0,-
33,s,10.2,-27.9,0,-
34,s,-12.3,19.7,0,-
35,s,-6.3,-28.8,0,-
36,s,8.9,23.9,0,-
