id,Type,X,Y,Demand,ServiceBy
0,d,-17.8,-22.6,0,-
1,c,-23.6,26.1,0.7,D/V
2,c,11.7,-29.0,11.4,D/V
3,c,21.2,18.3,15.0,D/V
4,c,-16.2,27.1,7.7,D/V
5,c,-8.3,-17.3,5.1,D/V
6,c,-19.6,-13.6,5.1,D/V
7,c,-3.0,6.1,6.9,D/V
8,c,22.6,20.1,6.5,D/V
9,c,-4.0,-17.7,14.5,D/V
10,c,4.9,-26.5,1.4,D/V
11,c,23.7,-16.3,8.6,D/V
12,c,-23.1,26.8,0.8,D/V
13,c,22.1,-27.1,11.2,D/V
14,c,27.2,-5.6,11.2,D/V
15,c,19.9,16.9,8.0,D/V
16,c,-12.5,24.1,42.3,V
17,c,23.0,-28.7,42.3,V
18,c,-10.2,-3.5,19.3,V
19,c,-6.7,10.2,85.5,V
20,c,-1.1,-23.5,99.0,V
21,c,-22.7,8.1,19.3,V
22,c,-7.9,-19.0,60.3,V
23,c,-20.1,7.1,48.8,V
24,c,-15.5,-2.9,54.7,V
25,c,5.5,-28.9,30.3,V
26,c,-27.2,27.5,99.7,V
27,c,0.7,-11.8,73.2,V
28,c,-18.9,20.2,50.9,V
29,c,-5.4,10.8,93.9,V
30,c,18.9,19.1,63.0,V
31,s,-8.9,19.3,0,-
32,s,1.7,26.9,0,-
33,s,-14.0,5.7,0,-
34,s,-27.6,26.7,0,-
35,s,-24.0,-12.8,0,-
36,s,-17.2,-24.0,0,-
37,s,28.5,-7.6,0,-
38,s,-13.2,0.9,0,-
39,s,3.5,3.2,0,-
40,s,20.9,21.3,0,-
