id,Type,X,Y,Demand,ServiceBy
0,d,-11.7,17.5,0,-
1,c,-6.3,25.8,6.6,D/V
2,c,22.7,-13.4,5.1,D/V
3,c,-28.2,13.6,8.5,D/V
4,c,1.6,22.5,6.5,D/V
5,c,-29.1,-9.3,2.2,D/V
6,c,10.4,15.0,14.3,D/V
7,c,-4.0,18.7,2.8,D/V
8,c,29.4,-6.3,65.1,V
9,c,29.9,7.3,90.2,V
10,c,-3.9,-19.9,90.1,V
11,c,-29.6,1.1,70.4,V
12,c,-28.4,-15.2,32.0,V
13,c,11.6,3.7,51.2,V
14,c,25.6,16.1,54.3,V
15,c,-15.0,3.2,34.8,V
16,c,-9.5,-11.9,87.6,V
17,c,-27.3,26.0,23.8,V
18,c,12.2,-26.4,51.4,V
19,c,-11.0,-10.3,45.1,V
20,c,-26.8,-9.1,61.3,V
21,c,-11.5,17.1,16.5,V
22,c,-1.2,14.3,65.9,V
23,c,21.3,-22.3,60.3,V
24,c,9.0,2.6,63.8,V
25,c,-12.4,-14.9,22.4,V
26,c,2.7,10.0,36.7,V
27,c,3.1,11.6,66.0,V
28,c,1.3,14.8,29.7,V
29,c,7.7,-8.4,29.6,V
30,c,-25.8,-11.4,57.1,V
31,s,18.8,4.4,0,-
32,s,23.3,-23.2,0,-
33,s,-6.9,-26.0,0,-
34,s,14.8,26.3,0,-
35,s,1.8,2.0,0,-
36,s,-3.6,-7.7,0,-
