id,Sd(km/h),Pd(kg),E_d
1,75,12,1.1
2,74,15,1.7
3,73,12,0.6
4,72,15,1.8
5,72,12,1.0
6,72,10,1.9
7,72,7,1.4
8,72,5,1.9
9,71,13,0.5
10,71,10,1.0
11,71,9,1.2
12,71,6,0.8
13,70,14,1.4
14,70,10,0.7
15,70,7,0.5
16,70,5,1.5
17,68,8,0.6
18,68,7,1.8
19,67,15,1.3
20,66,11,0.6
21,66,7,1.2
22,66,6,1.8
23,65,6,1.1
24,64,11,0.6
25,64,8,1.1
26,62,11,0.9
27,62,10,0.7
28,61,15,1.4
29,61,7,0.7
30,60,5,1.1
31,59,11,1.2
32,59,9,1.0
33,59,8,1.6
34,59,6,1.0
35,58,15,1.4
36,58,14,0.6
37,58,11,1.1
38,58,11,1.1
39,58,7,1.5
40,57,8,0.6
41,57,7,1.2
42,57,6,1.5
43,56,6,1.5
44,56,5,0.9
45,55,6,1.5
