id,Sd(km/h),Pd(kg),E_d
1,74,15,0.9
2,74,8,1.3
3,74,7,1.7
4,73,11,1.4
5,73,10,1.0
6,73,7,1.0
7,72,13,1.6
8,72,13,1.9
9,72,11,2.0
10,72,5,1.8
11,71,14,0.8
12,71,11,0.9
13,71,8,0.6
14,71,7,1.5
15,70,15,1.0
16,70,11,0.9
17,70,10,0.6
18,70,7,0.5
19,67,12,1.2
20,67,9,1.9
21,67,9,0.6
22,67,8,1.0
23,66,11,1.0
24,66,9,0.9
25,65,5,0.9
26,64,13,1.5
27,64,12,1.0
28,64,10,1.5
29,63,13,2.0
30,63,6,1.2
31,63,5,0.7
32,62,7,1.0
33,61,15,1.5
34,61,11,1.7
35,61,7,1.2
36,60,10,1.8
37,60,7,1.6
38,60,5,1.7
39,57,15,1.0
40,57,12,1.7
41,57,9,0.6
42,57,9,0.6
43,57,6,0.8
44,56,7,0.8
45,55,13,1.0
