id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,54,50,1000,300,0.16
2,54,50,1000,300,0.16
3,54,50,1000,300,0.16
4,54,50,1000,300,0.16
5,54,50,1000,300,0.16
6,54,50,1000,300,0.16
7,54,50,1000,300,0.16
8,54,50,1000,300,0.16
9,54,50,1000,300,0.16
10,54,50,1000,300,0.16
11,54,50,1000,300,0.16
12,54,50,1000,300,0.16
13,54,50,1000,300,0.16
14,54,50,1000,300,0.16
15,54,50,1000,300,0.16
16,54,50,1000,300,0.16
17,54,50,1000,300,0.16
18,54,50,1000,300,0.16
19,54,50,1000,300,0.16
20,54,50,1000,300,0.16
21,54,50,1000,300,0.16
22,54,50,1000,300,0.16
23,54,50,1000,300,0.16
24,54,50,1000,300,0.16
25,54,50,1000,300,0.16
26,54,50,1000,300,0.16
27,54,50,1000,300,0.16
28,54,50,1000,300,0.16
29,54,50,1000,300,0.16
30,54,50,1000,300,0.16
31,54,50,1000,300,0.16
32,54,50,1000,300,0.16
33,54,50,1000,300,0.16
34,54,50,1000,300,0.16
35,54,50,1000,300,0.16
36,54,50,1000,300,0.16
37,54,50,1000,300,0.16
38,54,50,1000,300,0.16
39,54,50,1000,300,0.16
40,54,50,1000,300,0.16
41,54,50,1000,300,0.16
42,54,50,1000,300,0.16
43,54,50,1000,300,0.16
44,54,50,1000,300,0.16
45,54,50,1000,300,0.16
