id,Type,X,Y,Demand,ServiceBy
0,d,4.5,-2.9,0,-
1,c,2.6,-2.0,8.2,D/V
2,c,-2.9,-20.0,5.4,D/V
3,c,7.5,-14.6,0.9,D/V
4,c,9.9,27.0,12.1,D/V
5,c,12.0,6.5,11.2,D/V
6,c,-1.9,8.8,5.9,D/V
7,c,-26.2,22.2,5.3,D/V
8,c,24.3,-21.5,10.5,D/V
9,c,23.5,4.2,1.2,D/V
10,c,14.6,-1.2,11.1,D/V
11,c,-11.2,-26.2,14.7,D/V
12,c,-13.7,-23.3,11.7,D/V
13,c,16.8,-21.3,6.1,D/V
14,c,-15.6,1.7,2.0,D/V
15,c,5.2,-8.3,9.4,D/V
16,c,24.0,-18.7,60.8,V
17,c,-27.9,10.5,39.5,V
18,c,-11.4,-3.1,36.5,V
19,c,-28.9,-14.9,82.3,V
20,c,-25.3,-26.6,39.2,V
21,c,-22.5,29.5,31.9,V
22,c,-23.4,19.0,97.9,V
23,c,9.7,-15.9,32.2,V
24,c,22.5,7.9,16.0,V
25,c,28.2,25.9,42.9,V
26,c,13.2,16.6,33.8,V
27,c,20.3,26.9,68.7,V
28,c,16.5,-21.5,42.2,V
29,c,14.1,10.2,52.0,V
30,c,28.8,21.3,28.8,V
31,c,-25.8,-23.6,36.0,V
32,c,3.1,-9.7,51.3,V
33,c,26.9,-9.6,84.3,V
34,c,29.2,29.2,59.0,V
35,c,-2.2,8.8,28.0,V
36,c,12.4,26.7,88.8,V
37,c,-3.2,-12.7,49.6,V
38,c,16.4,-15.2,51.6,V
39,c,-3.5,-11.8,45.4,V
40,c,-27.8,15.2,81.8,V
41,c,-1.6,-18.6,24.6,V
42,c,11.8,-16.5,31.9,V
43,c,-16.8,-23.0,90.4,V
44,c,-3.4,16.5,94.7,V
45,c,-1.7,19.1,18.2,V
46,c,20.8,-15.3,65.7,V
47,c,-7.1,-18.2,46.5,V
48,c,3.3,21.7,73.5,V
49,c,-7.2,-17.4,32.2,V
50,c,26.4,25.6,44.4,V
51,c,-9.0,-1.2,26.5,V
52,c,-29.8,9.6,90.8,V
53,c,-28.1,12.9,43.7,V
54,c,24.7,-8.3,54.6,V
55,c,-22.5,8.6,78.0,V
56,c,-8.7,-18.0,74.2,V
57,c,-27.2,-3.0,67.5,V
58,c,9.2,9.2,29.9,V
59,c,-26.4,0.5,83.8,V
60,c,27.8,28.1,29.2,V
61,s,-3.9,20.5,0,-
62,s,-27.8,-6.9,0,-
63,s,-22.2,-7.0,0,-
64,s,-6.6,-29.7,0,-
65,s,19.8,29.0,0,-
66,s,10.4,2.0,0,-
67,s,3.9,-6.2,0,-
68,s,-17.5,5.2,0,-
69,s,27.5,23.2,0,-
70,s,-5.8,-3.3,0,-
71,s,-18.4,-6.6,0,-
72,s,10.9,-2.7,0,-
73,s,-3.0,22.2,0,-
74,s,11.4,-29.2,0,-
