id,Type,X,Y,Demand,ServiceBy
0,d,15.5,20.0,0,-
1,c,-11.4,2.6,10.0,D/V
2,c,-12.3,21.6,5.8,D/V
3,c,-9.1,25.4,3.4,D/V
4,c,-7.6,9.9,9.6,D/V
5,c,-22.5,-25.9,9.9,D/V
6,c,18.4,5.1,13.0,D/V
7,c,-15.2,16.7,4.5,D/V
8,c,19.2,12.0,7.5,D/V
9,c,-21.2,-3.3,7.4,D/V
10,c,-7.5,19.1,5.4,D/V
11,c,-7.8,-20.2,5.4,D/V
12,c,-16.7,-26.4,13.6,D/V
13,c,5.6,-14.8,8.9,D/V
14,c,-23.5,-20.3,11.1,D/V
15,c,-3.7,-27.6,1.8,D/V
16,c,-27.3,-17.2,12.2,D/V
17,c,23.0,-22.4,0.9,D/V
18,c,9.6,-19.3,9.7,D/V
19,c,5.8,-18.1,6.8,D/V
20,c,-18.2,17.9,8.5,D/V
21,c,9.1,24.9,12.4,D/V
22,c,9.7,-29.9,11.1,D/V
23,c,-1.8,1.6,15.0,D/V
24,c,-13.9,24.4,10.8,D/V
25,c,-11.3,-5.7,5.4,D/V
26,c,23.4,24.6,14.5,D/V
27,c,-17.4,28.6,4.0,D/V
28,c,6.8,-20.8,6.9,D/V
29,c,-20.6,-16.1,11.8,D/V
30,c,25.2,6.8,8.9,D/V
31,c,-6.8,8.7,13.9,D/V
32,c,-17.9,-5.5,3.7,D/V
33,c,-16.9,5.2,2.9,D/V
34,c,-16.0,-16.6,10.1,D/V
35,c,2.0,13.9,14.3,D/V
36,c,18.5,-27.2,4.7,D/V
37,c,26.2,-12.4,12.9,D/V
38,c,-28.6,4.1,13.3,D/V
39,c,17.7,7.3,12.3,D/V
40,c,-0.9,-27.8,6.2,D/V
41,c,0.7,-26.6,6.0,D/V
42,c,16.3,-23.3,10.5,D/V
43,c,-16.2,-17.8,2.7,D/V
44,c,0.7,-21.9,8.7,D/V
45,c,-23.4,-6.4,8.2,D/V
46,c,27.0,22.6,95.1,V
47,c,-20.3,-30.0,65.3,V
48,c,-20.7,-21.4,48.6,V
49,c,-2.8,9.9,15.9,V
50,c,8.6,17.0,61.5,V
51,c,-14.2,9.4,20.8,V
52,c,18.8,-16.4,26.8,V
53,c,-26.4,-13.6,81.1,V
54,c,26.2,-0.7,36.8,V
55,c,3.1,-9.5,80.7,V
56,c,3.1,14.9,36.5,V
57,c,25.1,17.7,74.7,V
58,c,-21.0,-1.7,87.0,V
59,c,22.7,-21.1,21.4,V
60,c,-18.0,25.5,95.4,V
61,c,-14.2,21.5,68.3,V
62,c,4.6,13.9,68.9,V
63,c,16.9,20.9,64.2,V
64,c,-1.8,-26.2,62.4,V
65,c,-6.4,22.5,16.4,V
66,c,-24.5,-7.0,78.0,V
67,c,-12.5,-5.1,91.8,V
68,c,23.8,-10.7,83.5,V
69,c,-10.5,-20.9,38.9,V
70,c,-26.0,-3.7,29.6,V
71,c,-2.4,2.3,18.2,V
72,c,-21.7,25.5,96.8,V
73,c,-14.8,7.7,54.8,V
74,c,18.0,-15.5,20.5,V
75,c,-13.5,25.1,84.1,V
76,c,-8.1,3.4,49.4,V
77,c,-6.7,6.9,64.4,V
78,c,-3.6,-15.5,43.6,V
79,c,27.0,9.7,25.5,V
80,c,14.8,3.7,95.0,V
81,c,1.5,5.4,34.7,V
82,c,21.3,-19.5,91.9,V
83,c,-3.9,-0.9,94.7,V
84,c,-3.5,-16.5,53.8,V
85,c,-6.8,-8.1,18.5,V
86,c,24.4,7.8,63.4,V
87,c,-0.9,28.3,48.0,V
88,c,-22.1,2.1,16.3,V
89,c,-6.4,-29.1,65.8,V
90,c,-22.9,26.6,92.2,V
91,s,-18.3,12.0,0,-
92,s,9.0,-29.4,0,-
93,s,29.4,-8.8,0,-
94,s,25.9,-26.8,0,-
95,s,-7.1,-5.5,0,-
96,s,14.7,22.0,0,-
97,s,-24.2,16.8,0,-
98,s,3.1,2.0,0,-
99,s,23.8,7.4,0,-
100,s,-10.3,-26.9,0,-
101,s,3.5,-28.8,0,-
102,s,-16.5,22.1,0,-
103,s,-6.0,28.1,0,-
104,s,-16.8,-8.0,0,-
105,s,-22.9,3.0,0,-
106,s,-10.3,13.2,0,-
107,s,-21.4,-2.8,0,-
108,s,-27.5,-7.8,0,-
