id,Type,X,Y,Demand,ServiceBy
0,d,27.4,6.0,0,-
1,c,-25.1,19.2,1.7,D/V
2,c,22.8,-23.8,9.6,D/V
3,c,-17.9,20.3,8.8,D/V
4,c,-3.3,23.4,12.8,D/V
5,c,6.4,-11.9,8.3,D/V
6,c,16.4,25.2,5.3,D/V
7,c,-19.9,-4.7,13.2,D/V
8,c,-8.1,-5.8,10.7,D/V
9,c,-23.4,25.7,9.1,D/V
10,c,-26.5,1.1,11.6,D/V
11,c,15.9,-15.1,3.5,D/V
12,c,16.9,18.0,6.5,D/V
13,c,-14.8,-5.5,7.9,D/V
14,c,-4.3,4.8,11.7,D/V
15,c,2.4,0.8,8.8,D/V
16,c,26.2,-4.7,64.6,V
17,c,-4.7,-25.7,61.8,V
18,c,29.4,27.7,86.2,V
19,c,7.1,10.4,67.9,V
20,c,13.1,26.3,62.3,V
21,c,-22.1,-22.0,38.1,V
22,c,-11.4,6.5,23.0,V
23,c,7.0,20.7,56.8,V
24,c,-27.5,2.8,91.2,V
25,c,4.6,-4.8,35.7,V
26,c,28.4,10.4,61.4,V
27,c,7.9,14.3,91.4,V
28,c,9.1,-23.0,98.4,V
29,c,-6.7,7.1,90.1,V
30,c,11.4,16.9,74.2,V
31,c,23.6,26.6,70.5,V
32,c,-10.7,0.2,21.9,V
33,c,10.3,-16.6,47.3,V
34,c,22.0,28.6,80.4,V
35,c,0.5,29.3,69.2,V
36,c,-8.2,11.5,41.5,V
37,c,17.6,-12.4,78.0,V
38,c,16.0,4.3,47.1,V
39,c,-28.1,26.4,92.4,V
40,c,19.7,2.3,20.8,V
41,c,8.8,-8.4,57.2,V
42,c,7.0,-15.7,37.5,V
43,c,-18.3,24.0,33.5,V
44,c,5.7,-3.5,20.1,V
45,c,4.8,-9.5,22.5,V
46,c,4.8,-16.6,21.6,V
47,c,28.5,7.4,26.2,V
48,c,11.6,17.2,57.8,V
49,c,19.3,-15.7,81.5,V
50,c,15.0,-18.6,91.2,V
51,c,-29.9,-2.6,63.6,V
52,c,-21.7,25.6,17.2,V
53,c,18.6,-0.3,98.9,V
54,c,1.7,6.1,37.3,V
55,c,29.2,8.5,40.3,V
56,c,-8.8,-24.1,26.7,V
57,c,26.6,24.4,45.1,V
58,c,-16.7,23.4,24.4,V
59,c,-22.2,6.9,29.7,V
60,c,5.0,-23.4,49.3,V
61,s,-21.0,28.3,0,-
62,s,4.7,29.1,0,-
63,s,22.8,17.8,0,-
64,s,-29.5,-20.1,0,-
65,s,19.8,-24.3,0,-
66,s,22.9,-23.0,0,-
67,s,28.9,25.5,0,-
68,s,-26.6,15.6,0,-
69,s,-8.1,28.4,0,-
70,s,-1.7,-25.2,0,-
