id,Type,X,Y,Demand,ServiceBy
0,d,27.5,11.2,0,-
1,c,13.7,-4.9,7.8,D/V
2,c,27.6,-11.0,5.5,D/V
3,c,-3.7,-28.4,14.7,D/V
4,c,-20.4,13.9,0.6,D/V
5,c,-4.3,8.9,11.6,D/V
6,c,28.0,25.6,11.7,D/V
7,c,-4.9,-7.5,5.8,D/V
8,c,-6.0,-21.1,13.4,D/V
9,c,-12.2,22.9,6.2,D/V
10,c,25.1,-7.7,6.0,D/V
11,c,28.8,14.7,7.5,D/V
12,c,-15.6,25.8,1.3,D/V
13,c,-7.3,18.4,14.4,D/V
14,c,1.0,10.2,10.4,D/V
15,c,16.4,9.5,12.9,D/V
16,c,-23.0,-25.4,21.3,V
17,c,-22.2,27.2,26.1,V
18,c,8.2,-2.1,66.4,V
19,c,10.0,8.0,15.8,V
20,c,16.3,-17.6,92.3,V
21,c,-11.3,-25.1,63.2,V
22,c,-24.0,-2.4,35.7,V
23,c,-8.1,-1.4,18.9,V
24,c,21.5,-22.4,63.1,V
25,c,-27.2,6.4,51.0,V
26,c,12.8,-3.7,88.5,V
27,c,-22.4,0.6,94.1,V
28,c,29.6,5.6,30.5,V
29,c,-17.8,-22.0,52.0,V
30,c,5.3,-0.7,50.4,V
31,s,-8.4,-10.9,0,-
32,s,23.1,-10.0,0,-
33,s,-16.8,-26.7,0,-
34,s,28.7,-29.0,0,-
35,s,29.3,8.4,0,-
36,s,-3.7,4.0,0,-
37,s,-14.3,-8.0,0,-
38,s,-19.9,20.3,0,-
