id,Type,X,Y,Demand,ServiceBy
0,d,-17.7,-28.1,0,-
1,c,14.8,-27.8,13.7,D/V
2,c,-15.5,-22.6,12.9,D/V
3,c,15.8,0.4,3.8,D/V
4,c,23.8,20.1,8.2,D/V
5,c,28.3,2.1,3.6,D/V
6,c,13.7,1.8,3.8,D/V
7,c,29.1,25.3,2.4,D/V
8,c,20.0,13.8,80.4,V
9,c,13.9,0.2,32.7,V
10,c,23.8,19.1,44.1,V
11,c,0.9,27.9,61.6,V
12,c,-0.2,4.9,38.1,V
13,c,25.5,7.7,45.4,V
14,c,3.7,-2.4,80.2,V
15,c,29.2,-12.0,83.8,V
16,c,25.3,-21.8,72.3,V
17,c,6.3,-17.2,66.1,V
18,c,27.3,-26.8,28.7,V
19,c,-0.1,28.5,66.6,V
20,c,-7.5,4.3,32.6,V
21,c,22.5,29.7,78.7,V
22,c,22.5,7.3,98.4,V
23,c,-19.9,-24.7,43.8,V
24,c,-4.5,8.8,95.1,V
25,c,4.4,-5.1,99.2,V
26,c,26.7,-15.2,19.3,V
27,c,-1.1,12.1,27.3,V
28,c,27.8,-25.7,56.7,V
29,c,-1.3,-1.0,56.4,V
30,c,-9.1,-21.8,81.5,V
31,s,19.1,-27.5,0,-
32,s,4.3,20.5,0,-
33,s,-11.2,-2.3,0,-
34,s,12.6,-21.1,0,-
35,s,-23.6,-28.1,0,-
36,s,24.5,-24.2,0,-
37,s,26.9,9.6,0,-
38,s,-26.2,-5.5,0,-
