id,Type,X,Y,Demand,ServiceBy
0,d,6.2,29.0,0,-
1,c,-7.6,-26.0,7.7,D/V
2,c,-29.4,12.8,6.8,D/V
3,c,22.6,17.8,1.8,D/V
4,c,-4.9,23.1,3.7,D/V
5,c,-24.0,-12.1,15.0,D/V
6,c,8.4,-10.8,13.7,D/V
7,c,-23.3,-11.1,3.3,D/V
8,c,-21.8,8.7,58.7,V
9,c,-13.5,-29.1,33.0,V
10,c,3.5,28.4,20.9,V
11,c,-23.2,-26.5,95.6,V
12,c,-21.0,-16.1,95.4,V
13,c,-21.0,-10.9,23.3,V
14,c,6.2,19.2,96.1,V
15,c,26.8,-9.7,28.5,V
16,c,-13.1,19.1,48.8,V
17,c,-13.5,4.8,83.4,V
18,c,7.7,17.2,33.5,V
19,c,-7.3,-22.8,93.0,V
20,c,22.4,4.6,83.3,V
21,c,-23.1,-13.2,80.9,V
22,c,-5.4,-20.4,99.1,V
23,c,7.3,-22.4,98.8,V
24,c,5.7,-2.5,67.2,V
25,c,-15.0,-11.0,95.0,V
26,c,26.9,-21.5,70.9,V
27,c,-27.8,8.7,82.2,V
28,c,19.8,-27.8,23.4,V
29,c,17.9,7.6,30.0,V
30,c,-8.8,-26.1,84.9,V
31,s,19.9,15.7,0,-
32,s,12.0,1.1,0,-
33,s,-22.9,4.1,0,-
34,s,25.5,-3.5,0,-
35,s,13.1,1.9,0,-
36,s,23.3,-16.2,0,-
37,s,-15.8,0.6,0,-
38,s,14.6,24.4,0,-
39,s,8.1,29.9,0,-
40,s,-15.3,19.9,0,-
