id,Sd(km/h),Pd(kg),E_d
1,75,14,1.0
2,75,6,1.7
3,74,15,0.7
4,74,14,1.1
5,74,12,0.6
6,74,7,1.2
7,73,5,0.7
8,72,14,0.9
9,72,11,0.8
10,72,8,1.2
11,71,15,1.1
12,71,13,1.5
13,71,6,1.6
14,70,10,1.3
15,70,8,1.0
16,70,6,1.5
17,69,9,0.6
18,69,8,1.6
19,67,15,1.8
20,67,7,1.9
21,67,6,1.7
22,66,10,0.6
23,66,8,1.6
24,66,7,0.6
25,65,7,1.4
26,64,5,1.6
27,63,14,0.8
28,63,8,0.7
29,63,6,0.8
30,62,11,2.0
31,62,9,2.0
32,61,14,1.8
33,61,9,2.0
34,61,8,1.8
35,61,8,1.8
36,60,7,0.5
37,59,10,1.4
38,59,10,1.5
39,58,5,1.4
40,57,9,1.2
41,56,13,0.9
42,55,14,1.8
43,55,11,1.8
44,55,7,0.7
45,55,7,0.6
