id,Type,X,Y,Demand,ServiceBy
0,d,-8.4,-8.1,0,-
1,c,-15.2,25.4,9.9,D/V
2,c,14.7,-12.0,1.8,D/V
3,c,0.3,-10.7,3.4,D/V
4,c,-9.9,18.8,1.3,D/V
5,c,11.3,-21.4,14.6,D/V
6,c,-16.2,25.9,5.3,D/V
7,c,0.7,29.1,2.2,D/V
8,c,28.4,26.4,4.3,D/V
9,c,-24.3,-0.3,1.2,D/V
10,c,-12.2,-26.4,10.6,D/V
11,c,6.3,-13.9,6.0,D/V
12,c,-3.8,1.6,11.3,D/V
13,c,24.7,-24.5,7.7,D/V
14,c,15.1,-29.6,12.1,D/V
15,c,-23.3,-10.3,4.1,D/V
16,c,-26.9,-27.7,2.9,D/V
17,c,-6.5,25.4,13.6,D/V
18,c,-25.0,27.4,5.0,D/V
19,c,-26.2,-23.0,2.6,D/V
20,c,13.2,-11.7,12.8,D/V
21,c,5.9,-15.2,14.5,D/V
22,c,0.1,-13.6,1.8,D/V
23,c,18.7,3.6,8.7,D/V
24,c,-1.8,-14.5,12.9,D/V
25,c,8.1,-11.7,12.1,D/V
26,c,-0.6,-3.4,9.9,D/V
27,c,24.2,-16.0,4.6,D/V
28,c,-4.7,-10.0,13.4,D/V
29,c,12.7,6.5,11.5,D/V
30,c,-27.0,-6.8,13.2,D/V
31,c,21.2,-8.0,12.4,D/V
32,c,2.2,-20.0,10.6,D/V
33,c,7.1,18.7,13.3,D/V
34,c,14.4,8.3,1.8,D/V
35,c,2.2,-8.5,3.3,D/V
36,c,-5.0,-11.3,8.3,D/V
37,c,1.2,-4.9,14.2,D/V
38,c,-28.9,-27.5,8.1,D/V
39,c,22.3,-24.8,7.1,D/V
40,c,-22.0,-17.2,11.1,D/V
41,c,-14.8,-22.9,8.2,D/V
42,c,17.1,-18.2,5.7,D/V
43,c,18.3,-15.2,6.7,D/V
44,c,-27.0,8.4,5.5,D/V
45,c,-5.4,9.0,13.4,D/V
46,c,16.8,-18.2,65.3,V
47,c,10.7,-0.1,35.7,V
48,c,-6.5,-7.7,81.1,V
49,c,-9.7,-8.1,84.7,V
50,c,-6.3,9.9,83.6,V
51,c,-16.0,13.0,72.9,V
52,c,-13.6,-19.3,30.4,V
53,c,17.8,5.3,18.6,V
54,c,-7.0,13.9,83.4,V
55,c,-23.1,-21.5,36.7,V
56,c,4.2,18.4,66.0,V
57,c,0.4,-7.9,19.8,V
58,c,-23.6,-1.1,52.1,V
59,c,-18.7,4.0,92.2,V
60,c,-10.2,-2.9,46.3,V
61,c,-13.0,6.7,20.3,V
62,c,-12.6,-27.8,76.7,V
63,c,-2.3,8.5,28.4,V
64,c,22.9,21.6,29.3,V
65,c,-8.4,-15.4,27.9,V
66,c,-12.2,4.8,66.2,V
67,c,-8.7,1.2,86.1,V
68,c,-5.2,9.1,91.7,V
69,c,-22.9,2.8,50.0,V
70,c,-23.4,-10.9,24.6,V
71,c,-15.4,-18.0,38.9,V
72,c,-26.1,29.5,96.5,V
73,c,0.6,10.2,38.4,V
74,c,21.9,-27.3,71.1,V
75,c,-0.4,17.4,99.2,V
76,c,-3.8,-2.5,74.4,V
77,c,-19.2,-24.4,71.6,V
78,c,-3.7,-17.0,83.0,V
79,c,15.2,-22.6,62.1,V
80,c,27.4,-20.5,36.6,V
81,c,2.3,-21.1,51.9,V
82,c,29.3,-27.2,33.6,V
83,c,-13.9,-9.3,98.3,V
84,c,-18.7,23.6,55.5,V
85,c,7.7,-9.6,78.4,V
86,c,-29.5,-19.3,43.8,V
87,c,27.0,28.0,70.3,V
88,c,-23.0,-12.4,68.6,V
89,c,-5.2,-1.4,86.0,V
90,c,3.9,23.8,57.8,V
91,s,24.4,25.5,0,-
92,s,6.9,-10.5,0,-
93,s,-3.5,-26.4,0,-
94,s,0.6,6.4,0,-
95,s,-19.5,4.5,0,-
96,s,-13.7,15.1,0,-
97,s,-17.4,23.7,0,-
98,s,-4.2,-12.3,0,-
99,s,20.8,8.4,0,-
100,s,29.8,-9.0,0,-
101,s,-27.6,-4.6,0,-
102,s,-0.7,26.0,0,-
103,s,9.6,24.1,0,-
104,s,-15.4,21.8,0,-
105,s,15.5,29.0,0,-
106,s,-3.4,13.0,0,-
