id,Type,X,Y,Demand,ServiceBy
0,d,-20.3,7.4,0,-
1,c,13.0,12.6,6.6,D/V
2,c,9.9,-14.3,12.1,D/V
3,c,14.2,-23.6,8.3,D/V
4,c,22.2,-13.3,2.8,D/V
5,c,1.6,-20.3,3.3,D/V
6,c,-5.9,29.8,14.3,D/V
7,c,28.7,-15.3,3.1,D/V
8,c,10.6,-11.7,7.0,D/V
9,c,17.6,20.9,6.2,D/V
10,c,21.6,25.4,2.8,D/V
11,c,-27.5,29.1,11.5,D/V
12,c,7.4,-9.4,8.5,D/V
13,c,11.9,-18.7,1.6,D/V
14,c,13.5,-11.7,0.8,D/V
15,c,-13.7,25.4,12.1,D/V
16,c,19.8,0.6,12.6,D/V
17,c,-11.3,-7.5,11.8,D/V
18,c,24.3,2.0,4.5,D/V
19,c,-15.6,-1.8,10.5,D/V
20,c,-2.0,5.0,14.3,D/V
21,c,18.7,-9.1,6.7,D/V
22,c,10.4,-16.9,8.8,D/V
23,c,-12.2,-8.4,12.5,D/V
24,c,-22.3,-19.2,14.9,D/V
25,c,-15.0,12.9,10.2,D/V
26,c,-3.3,18.3,2.8,D/V
27,c,24.6,-26.4,9.4,D/V
28,c,-1.8,28.8,1.2,D/V
29,c,25.5,-21.2,14.8,D/V
30,c,25.5,-24.9,9.4,D/V
31,c,27.8,24.4,30.5,V
32,c,14.8,-15.0,15.2,V
33,c,2.2,-5.8,93.0,V
34,c,16.2,-23.7,48.9,V
35,c,-25.9,-28.0,54.4,V
36,c,-25.0,27.5,98.8,V
37,c,4.3,4.2,51.4,V
38,c,29.3,-21.7,31.2,V
39,c,-15.4,-20.1,54.6,V
40,c,25.9,27.8,91.3,V
41,c,-26.7,-26.1,52.0,V
42,c,24.7,-18.2,92.8,V
43,c,-23.5,-10.3,19.9,V
44,c,-0.6,-14.5,46.6,V
45,c,29.9,-13.2,77.4,V
46,c,2.2,18.3,29.5,V
47,c,-2.2,29.0,58.7,V
48,c,14.8,20.1,53.6,V
49,c,2.4,-17.0,81.6,V
50,c,13.9,25.4,68.1,V
51,c,-28.2,18.6,31.4,V
52,c,-4.5,-15.5,95.3,V
53,c,-11.2,19.6,63.6,V
54,c,-2.0,7.0,24.3,V
55,c,16.3,22.1,52.1,V
56,c,-5.5,16.1,35.1,V
57,c,-7.9,-18.3,83.2,V
58,c,-16.8,-20.8,19.9,V
59,c,16.1,24.8,90.2,V
60,c,10.6,-3.3,47.1,V
61,s,14.2,-4.6,0,-
62,s,-21.5,25.2,0,-
63,s,23.7,-23.5,0,-
64,s,-23.7,18.5,0,-
65,s,-8.0,29.7,0,-
66,s,22.8,-26.7,0,-
67,s,6.9,-25.3,0,-
68,s,-11.3,4.1,0,-
69,s,-21.5,-14.0,0,-
70,s,25.5,-25.2,0,-
71,s,-4.7,9.2,0,-
72,s,-28.4,-1.3,0,-
73,s,-8.5,-11.2,0,-
74,s,-9.0,10.7,0,-
