id,S(km/h),E(kwh),P(kg),R(kwh/h),Cr(kwh/km)
1,50,50,1000,300,0.16
2,50,50,1000,300,0.16
3,50,50,1000,300,0.16
4,50,50,1000,300,0.16
5,50,50,1000,300,0.16
6,50,50,1000,300,0.16
7,50,50,1000,300,0.16
8,50,50,1000,300,0.16
9,50,50,1000,300,0.16
10,50,50,1000,300,0.16
11,50,50,1000,300,0.16
12,50,50,1000,300,0.16
13,50,50,1000,300,0.16
14,50,50,1000,300,0.16
15,50,50,1000,300,0.16
16,50,50,1000,300,0.16
17,50,50,1000,300,0.16
18,50,50,1000,300,0.16
19,50,50,1000,300,0.16
20,50,50,1000,300,0.16
21,50,50,1000,300,0.16
22,50,50,1000,300,0.16
23,50,50,1000,300,0.16
24,50,50,1000,300,0.16
25,50,50,1000,300,0.16
26,50,50,1000,300,0.16
27,50,50,1000,300,0.16
28,50,50,1000,300,0.16
29,50,50,1000,300,0.16
30,50,50,1000,300,0.16
31,50,50,1000,300,0.16
32,50,50,1000,300,0.16
33,50,50,1000,300,0.16
34,50,50,1000,300,0.16
35,50,50,1000,300,0.16
36,50,50,1000,300,0.16
37,50,50,1000,300,0.16
38,50,50,1000,300,0.16
39,50,50,1000,300,0.16
40,50,50,1000,300,0.16
41,50,50,1000,300,0.16
42,50,50,1000,300,0.16
43,50,50,1000,300,0.16
44,50,50,1000,300,0.16
45,50,50,1000,300,0.16
