id,Sd(km/h),Pd(kg),E_d
1,75,13,0.7
2,73,13,1.4
3,73,13,1.6
4,73,10,0.8
5,73,10,0.9
6,73,10,1.8
7,72,15,1.4
8,72,14,0.8
9,72,7,1.0
10,72,7,1.6
11,71,13,0.6
12,71,5,0.9
13,70,11,1.2
14,70,9,1.0
15,69,14,2.0
16,69,12,1.6
17,69,7,0.6
18,67,6,0.7
19,66,12,1.7
20,66,11,1.8
21,66,8,0.6
22,66,5,1.1
23,65,11,1.2
24,65,9,1.6
25,65,8,1.1
26,62,14,1.7
27,62,10,1.7
28,62,9,1.2
29,61,13,1.2
30,60,15,0.9
31,60,13,1.1
32,60,7,1.6
33,60,7,1.8
34,60,6,0.9
35,59,13,1.3
36,59,11,2.0
37,59,10,0.6
38,59,5,0.9
39,58,7,1.5
40,58,6,2.0
41,58,5,0.6
42,57,8,0.9
43,56,15,0.9
44,56,15,1.9
45,55,6,1.5
