id,Type,X,Y,Demand,ServiceBy
0,d,-15.1,25.1,0,-
1,c,17.9,-26.9,14.8,D/V
2,c,28.4,-23.4,12.8,D/V
3,c,8.3,-3.6,8.6,D/V
4,c,24.7,29.3,6.5,D/V
5,c,17.9,-29.5,7.8,D/V
6,c,-17.2,25.0,6.5,D/V
7,c,0.8,5.9,3.2,D/V
8,c,-23.5,-21.7,2.9,D/V
9,c,-19.9,-15.6,7.6,D/V
10,c,10.0,1.2,5.3,D/V
11,c,5.3,1.1,8.5,D/V
12,c,-23.3,4.1,8.3,D/V
13,c,-28.0,-0.1,7.5,D/V
14,c,12.0,25.5,6.4,D/V
15,c,20.8,3.9,4.7,D/V
16,c,-2.3,-2.4,5.1,D/V
17,c,-13.6,-13.9,9.9,D/V
18,c,-0.8,3.8,13.1,D/V
19,c,-22.5,-19.6,11.7,D/V
20,c,7.3,-26.6,13.2,D/V
21,c,-4.3,29.5,13.6,D/V
22,c,-9.9,11.4,1.4,D/V
23,c,-27.8,-14.6,93.3,V
24,c,-4.0,-11.8,78.5,V
25,c,19.7,-20.1,38.6,V
26,c,-25.5,-13.9,65.0,V
27,c,20.5,23.7,78.8,V
28,c,-20.4,14.0,24.3,V
29,c,-3.0,-13.1,46.1,V
30,c,6.2,3.2,31.6,V
31,c,24.2,7.9,81.4,V
32,c,16.6,-22.1,18.6,V
33,c,14.5,25.9,93.8,V
34,c,29.9,-18.6,43.6,V
35,c,-15.8,-6.5,27.0,V
36,c,15.4,-22.6,77.8,V
37,c,22.8,-26.9,34.0,V
38,c,-17.5,-7.9,99.1,V
39,c,9.4,-23.2,18.5,V
40,c,20.0,15.5,71.0,V
41,c,11.4,7.2,67.2,V
42,c,-0.6,-5.4,16.2,V
43,c,12.7,8.0,36.9,V
44,c,-24.1,-18.5,57.7,V
45,c,1.1,-25.8,16.4,V
46,c,27.4,11.1,63.9,V
47,c,4.7,8.8,45.1,V
48,c,-0.7,-19.0,27.9,V
49,c,-27.3,-4.3,25.8,V
50,c,-4.7,8.4,64.6,V
51,c,1.2,-23.0,74.5,V
52,c,21.4,-17.6,95.5,V
53,c,-9.8,-16.9,50.1,V
54,c,-1.8,26.0,78.3,V
55,c,8.4,3.4,76.1,V
56,c,-17.5,-11.1,29.7,V
57,c,5.9,-4.9,66.5,V
58,c,-11.7,9.8,93.0,V
59,c,1.4,9.7,65.0,V
60,c,-23.3,-7.3,84.3,V
61,c,-3.9,24.0,90.3,V
62,c,16.7,-3.8,35.4,V
63,c,14.6,-25.4,15.4,V
64,c,-29.2,-13.6,39.1,V
65,c,14.4,14.5,46.9,V
66,c,25.7,-5.8,42.2,V
67,c,-18.1,-3.3,49.8,V
68,c,27.4,-29.9,18.0,V
69,c,-7.3,-7.2,96.7,V
70,c,-22.8,25.8,37.9,V
71,c,-13.9,2.4,50.0,V
72,c,13.1,-23.7,52.5,V
73,c,2.0,26.4,83.6,V
74,c,-21.3,5.0,15.5,V
75,c,-24.9,-25.1,77.4,V
76,c,-7.6,-3.4,28.4,V
77,c,6.9,-22.4,41.1,V
78,c,23.1,-15.9,49.2,V
79,c,-15.9,-13.8,21.1,V
80,c,29.9,-26.1,78.3,V
81,c,-5.8,26.9,28.3,V
82,c,11.4,-23.0,35.3,V
83,c,23.4,8.4,59.8,V
84,c,5.7,15.0,25.4,V
85,c,13.0,26.1,96.4,V
86,c,-2.2,-23.7,35.1,V
87,c,-28.9,-22.4,63.2,V
88,c,13.0,15.7,21.5,V
89,c,-10.7,-15.6,23.4,V
90,c,-26.5,2.2,84.1,V
91,s,14.4,22.1,0,-
92,s,9.7,-12.8,0,-
93,s,-7.0,-27.6,0,-
94,s,-18.2,-3.5,0,-
95,s,8.5,28.4,0,-
96,s,-13.2,-7.3,0,-
97,s,-7.5,21.0,0,-
98,s,23.0,-18.0,0,-
99,s,1.5,-10.8,0,-
100,s,14.2,7.7,0,-
101,s,-21.8,22.8,0,-
102,s,-15.1,26.3,0,-
103,s,23.9,-3.9,0,-
104,s,29.0,-12.7,0,-
105,s,20.9,-22.7,0,-
106,s,-11.3,-10.3,0,-
